value,reading, date, time,label, unit, cm
1,Ballot Detected, 2015/4/7, 14:34:51,1428417291000    , distance,4
2,Ballot Detected, 2015/4/7, 14:34:57,1428417297000    , distance,8
3,Ballot Detected, 2015/4/7, 14:35:3,1428417303000    , distance,4
4,Ballot Detected, 2015/4/7, 14:35:11,1428417311000    , distance,2
5,Ballot Detected, 2015/4/7, 14:35:31,1428417331000    , distance,5
